"Performance Detail Submission: ID","Parent Submission: Date of Submission","Parent Submission: Company/Institution Name","Parent Submission: Submission Title","Parent Submission: Disease Target","Disease Target","Parent Submission: Stage of Development","Parent Submission: Country of Manufacturer","Parent Submission: Region","Parent Submission: Product Website","Parent Submission: Regulatory Approval","Sensitivity (%)","Specificity (%)","Parent Submission: Type of Technology","Parent Submission: Assay Target","Parent Submission: Target Analyte(s)","Parent Submission: Technology principle","Parent Submission: Test Format","Parent Submission: Instrument requirement","Parent Submission: Level of automation","Parent Submission: Lab vs. POC","Parent Submission: Self-testing/Self-Collection","Parent Submission: Primary Use Case","Parent Submission: Validated Sample Types","Parent Submission: Time to results excl sample prep (mins)","Parent Submission: Connectivity Solution","FIND Evaluation","Parent Submission: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Parent Submission: Revoked/Not Approved By","Reference","Date of study","Type of data source"
"a266900000BBqc0","26/05/2022","Abbott","Monkeypox qPCR test in development","Monkeypox virus","Monkeypox virus","Concept","United States","Americas","abbott.com","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Unknown","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000AWL9Y","23/08/2022","Abiores Technology (Beijing) Co.,Ltd.","Monkeypox Virus Fluorescence PCR Kit (Direct qPCR)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://www.abiores.com/en/","CE-IVD","0.00","0.00","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","A proprietary instrument/new instrument  (optional)","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Plasma; Whole Blood; Other","87.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000AWLAv","24/08/2022","Abiores Technology (Beijing) Co.,Ltd.","Bio-resource Monkeypox Virus Fluorescence PCR Kit(Direct qPCR)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://www.abiores.com/en/","CE-IVD","0.00","0.00","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Triage/Screening","Plasma; Whole Blood; Lesion fluid","87.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000AWL4s","19/08/2022","Abiores Technology (Beijing) Co.,Ltd.","Bio-resource Monkeypox Virus Ag Test","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://www.abiores.com/en/","CE-IVD","","","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Triage/Screening","Serum; Plasma; Whole Blood; Lesion fluid","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnai","25/05/2022","Acon Biotech (Hangzhou) Co., ltd.","Promotor Monkeypox Virus Real Time PCR Test Kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","China","Western Pacific","aconlabs.com","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Oropharyngeal swab; Serum; Lesion crusts; Lesion fluid","50.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BCiGB","10/06/2022","Advanced Molecular Diagnostics Ltd","AMD Monkeypox PCR Kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","United Kingdom","Europe","https://am-diagnostics.co.uk/product/monkeypox/","CE-IVD","","","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Serum; Plasma; Whole Blood; Lesion fluid","401.00","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","","","",""
"a266900000BBnaa","25/05/2022","Alpha Diagnostic International","Recombivirus Monkey Anti-monkeypox IgG ELISA kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","United States","Americas","https://4adi.com/4adi/recombivirus-monkey-anti-monkeypox-igg-elisa-kit-96-tests-quantitative-30363-p.html","None","","","Immunoassay","Antibody (serological)","MPX IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnas","25/05/2022","altona Diagnostics GmbH","RealStar Orthopoxvirus PCR Kit 1.0 RUO","Orthopoxvirus; Variola virus","Orthopoxvirus","Research Use Only (RUO)","Germany","Europe","https://scope-altona-dx.com/en/products/reagents/realstar-r-orthopoxvirus-pcr-kits.html","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Purified DNA","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnak","25/05/2022","Autobio Diagnostics Co., Ltd","Anti-Monkeypox Rapid Test","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","autobio.com.cn","CE-IVD","","","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Serum; Plasma; Whole Blood","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnal","25/05/2022","Autobio Diagnostics Co., Ltd","Monkeypox Ag Rapid Test","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","autobio.com.cn","CE-IVD","","","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Lesion fluid","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BD2c1","17/06/2022","Autobio Diagnostics Co., Ltd","AutoMolec Monkeypox","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://en.autobio.com.cn/Client/solutionDetail/fid/22/cid/23/id/63.html","CE-IVD","","","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – proprietary platform","Standard lab instrumentation is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Serum; Purified DNA; Lesion crusts; Lesion roof; Lesion fluid","70.00","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Instructions for Use (IFU)"
"a266900000BCCWG","01/06/2022","Beijing Applied Biological Technologies Co., Ltd.","Applied Biological Technologies Real-time PCR Detection kit for Monkeypox virus","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","x-abt.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Oropharyngeal swab; Nasal swab; Saliva; Urine; Whole Blood; Lesion crusts; Lesion roof; Lesion fluid","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BCCWH","01/06/2022","Beijing Bohui Innovation Biotechnology","Bohui monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","bohui-tech.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a2669000009j2a2","26/07/2022","Beijing Hotgen Biotech Co., Ltd","Monkeypox Virus Real-time PCR kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","http://en.hotgen.com.cn/product/prom-detail-196.htm","CE-IVD","0.00","0.00","Molecular","DNA","Other","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Monitoring (treatment, immune status, patient)","Oropharyngeal swab; Saliva; Serum; Plasma; Lesion crusts; Lesion fluid","35.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBqd8","26/05/2022","Beijing Hotgen Biotech Co., Ltd","monkeypox virus nucleic acid detection kits","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","hotgen.com.cn","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a2669000009j2cN","27/07/2022","Beijing Hotgen Biotech Co., Ltd","Monkeypox Virus Antigen Rapid Test","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","hotgen.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","Other","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Monitoring (treatment, immune status, patient)","Oropharyngeal swab; Saliva; Serum; Plasma; Whole Blood; Lesion crusts; Lesion fluid","20.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBqd9","26/05/2022","Beijing Lepu Medical Technology Co., ltd.","monkeypox virus nucleic acid detection kits","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","lepumedical.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BCCWA","01/06/2022","Beijing Zhongjian Antai Diagnostic Technology Co.,Ltd.","Antai monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","bjzjat.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BClj6","13/06/2022","BGI Health (HK) Co.Ltd","Monkeypox Virus Nucleic Acid Detection KitFluorescent PCR","Monkeypox virus","Monkeypox virus","Regulatory Achieved","Hong Kong SAR, China","Western Pacific","https://www.bgi.com/global/home","CE-IVD","","","Molecular","DNA","MPX B7R gene; MPX F3L gene","Other","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Nasopharyngeal swab; Oropharyngeal swab; Serum; Lesion fluid; Other","45.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Instructions for Use (IFU)"
"a266900000BBqIM","26/05/2022","BGI PathoGenesis Pharmaceutical Technology Co.,ltd.","Monkeypox virus test kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","China","Western Pacific","bgi.com","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","40.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnab","25/05/2022","Bioactiva diagnostica GmbH ","Monkeypox Virus PCR Kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","Germany","Europe","bioactiva.com","None","","","Molecular","DNA","Other","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Purified DNA","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a2669000009j2eJ","28/07/2022","Bioantibody Biotechnology Co., Ltd.","Monkeypox Virus IgM/IgG Antibody Rapid Test Kit (Lateral Chromatography)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","bioantibody.net","CE-IVD","90.00","98.08","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Triage/Screening","Serum; Plasma; Whole Blood","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a2669000009j2iY","28/07/2022","Bioantibody Biotechnology Co., Ltd.","Monkeypox Virus Antigen Rapid Test Kit (Lateral Chromatography)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","bioantibody.net","CE-IVD","90.00","98.08","Immunoassay","Antigen","Other","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Triage/Screening","Serum; Lesion roof; Lesion fluid","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Instructions for Use (IFU)"
"a2669000009j2ic","28/07/2022","Bioantibody Biotechnology Co., Ltd.","Monkeypox Virus IgM/IgG Antibody Rapid Test Kit (Lateral Chromatography)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","bioantibody.net","CE-IVD","92.50","98.43","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Triage/Screening","Serum; Plasma; Whole Blood","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Instructions for Use (IFU)"
"a266900000BCCWI","01/06/2022","Bioantibody Biotechnology Co., Ltd.","Bioantibody monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","baikangbiotech.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a2669000009j1wx","28/06/2022","Bioantibody Biotechnology Co., Ltd.","Monkeypox Virus Real Time PCR Kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","bioantibody.net","CE-IVD","95.00","99.05","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Serum; Lesion fluid","60.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Instructions for Use (IFU)"
"a266900000BD8FA","20/06/2022","BioDetect (Xiamen) Biotechnology Co., Ltd.","Monkeypox Virus Molecular Diagnostic Kit (Fluorescent PCR Test) (Lyophilized)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","biodetect.cn","CE-IVD","","","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Lesion fluid","60.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Instructions for Use (IFU)"
"a266900000BBncn","25/05/2022","BioFire Defense, llc","FilmArray Sentinel Panel","Ebola virus; Marburg virus; Orthopoxvirus; Variola virus; Other","Monkeypox virus","Research Use Only (RUO)","United States","Americas","biofiredefense.com","None","","","Molecular","RNA + DNA","Unknown","qPCR","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Other","60.00","Yes","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Unpublished data"
"a266900000BBnb1","","BioFire Defense, llc","FilmArray BioThreat Panel","Ebola virus; Marburg virus; Orthopoxvirus","Orthopoxvirus","Regulatory Status Unknown","United States","Americas","biofiredefense.com","None","","","Molecular","RNA + DNA","Unknown","qPCR","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Buccal swab","60.00","Yes - Connectable","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnaq","25/05/2022","BioGX","MPX/OPX Assay on GeneXpert in development","Orthopoxvirus; Monkeypox virus","Monkeypox virus","Late Stage Development (fully functional prototype)","United States","Americas","www.biogx.com","None","98.80","100.00","Molecular","DNA","OPX E9L; MPX G2R gene","qPCR","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Lesion crusts; Lesion roof; Lesion fluid","","Yes","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Li, D., Wilkins, K., McCollum, A. M., Osadebe, L., Kabamba, J., Nguete, B., Likafi, T., Balilo, M. P., Lushima, R. S., Malekani, J., Damon, I. K., Vickery, M., Pukuta, E., Nkawa, F., Karhemere, S., Tamfum, J. M., Okitolonda, E. W., Li, Y., & Reynolds, M. G. (2017). Evaluation of the GeneXpert for Human Monkeypox Diagnosis. The American journal of tropical medicine and hygiene, 96(2), 405–410. https://doi.org/10.4269/ajtmh.16-0567","2017","Published scientific article"
"a266900000BBnau","25/05/2022","Centers for Disease Control and Prevention","Poxvirus Serology","Orthopoxvirus; Variola virus; Monkeypox virus; Cowpox virus","Monkeypox virus","Research Use Only (RUO)","United States","Americas","doi.org/10.1128/CDLI.12.7.867-872.2005","None","","","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Agglutination","IA Reagent Kit","Standard lab instrumentation is required","Manual","Laboratory-developed test","Intended for professional use only","Diagnostic/confirmatory test","Serum; Plasma; Whole Blood","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnae","25/05/2022","Centers for Disease Control and Prevention","Real-time PCR monkeypox virus West African and Congo Basin strain DNA","Monkeypox virus","Monkeypox virus","Validation","United States","Americas","doi.org/10.1016/j.jviromet.2010.07.012","None","","","Molecular","DNA","Other","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","Yes","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","https://doi.org/10.1016/j.jviromet.2010.07.012","2010","Published scientific article"
"a266900000BBnah","25/05/2022","Centers for Disease Control and Prevention","Poxvirus Molecular Detection (Non-variola Orthopoxvirus DNA target sequence)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","United States","Americas","cdc.gov","FDA 510k","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Laboratory-developed test","Intended for professional use only","Diagnostic/confirmatory test","Lesion crusts; Lesion roof; Lesion fluid","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a2669000009j2cm","27/07/2022","Clonit Srl","Real-Time PCR Kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","Italy","Europe","https://www.clonit.it/en/products/infectious-diseases/emerging-tropical-infections/rt-103-quanty-monkeypox/","None","0.00","0.00","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Purified DNA; Lesion crusts; Lesion fluid","90.00","Yes","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBqc5","26/05/2022","Co-Diagnostics, Inc.","LogixSmart monkeypox test in development","Monkeypox virus","Monkeypox virus","Late Stage Development (fully functional prototype)","United States","Americas","codiagnostics.com","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","Unknown","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBqd3","26/05/2022","Cofoe Medical Technology Co.,Ltd","monkeypox virus nucleic acid detection kits","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","www.cofoe.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnaV","25/05/2022","Creative Biogene","Monkeypox Virus Real Time PCR Kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","United States","Americas","creative-biogene.com","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Serum; Lesion fluid","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnaX","25/05/2022","Da An Gene Co., ltd. Of Sun Yat-Sen University","Monkeypox virus nucleic acid detection kit (fluorescence PCR method) ","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","daangene.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Purified DNA","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BCCWB","01/06/2022","Dian Diagnostics Group Co.,Ltd.","Dian monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","dazd.cn","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
