"Performance Detail Submission: ID","Parent Submission: Date of Submission","Parent Submission: Company/Institution Name","Parent Submission: Submission Title","Parent Submission: Disease Target","Disease Target","Parent Submission: Stage of Development","Parent Submission: Country of Manufacturer","Parent Submission: Region","Parent Submission: Product Website","Parent Submission: Regulatory Approval","Sensitivity (%)","Specificity (%)","Parent Submission: Type of Technology","Parent Submission: Assay Target","Parent Submission: Target Analyte(s)","Parent Submission: Technology principle","Parent Submission: Test Format","Parent Submission: Instrument requirement","Parent Submission: Level of automation","Parent Submission: Lab vs. POC","Parent Submission: Self-testing/Self-Collection","Parent Submission: Primary Use Case","Parent Submission: Validated Sample Types","Parent Submission: Time to results excl sample prep (mins)","Parent Submission: Connectivity Solution","FIND Evaluation","Parent Submission: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Parent Submission: Revoked/Not Approved By","Reference","Date of study","Type of data source"
"a266900000BCs29","15/06/2022","Dynamiker Biotechnology (Tianjin) Co., Ltd.","Dynamiker Monkeypox Virus Ag Rapid Test","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://en.dynamiker.com/","CE-IVD","","","Immunoassay","Antigen","Other","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Triage/Screening","Serum; Plasma; Whole Blood; Other","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","","","","Unpublished data"
"a266900000BCCWJ","01/06/2022","Dynamiker Biotechnology (Tianjin) Co., Ltd.","Dynamiker monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","en.dynamiker.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a2669000009j2FW","12/07/2022","FireGene Inc","FireGene's Monkeypox Virus Nucleic Acid Detection Kit (Real-time PCR Method)","Orthopoxvirus; Monkeypox virus","Monkeypox virus","Regulatory Achieved","United States","Americas","https://firegene.com/products/monkeypox-virus-nucleic-acid-detection-kit-real-time-pcr-method-ce-certified","China NMPA; CE-IVD","","","Molecular","DNA","OPX E9L; Other","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Saliva; Finger prick blood; Wound swab; Other","40.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Instructions for Use (IFU)"
"a266900000BBnat","25/05/2022","Genekam","Ebola virus + Monkeypox virus Real Time PCR Kit","Ebola virus; Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","Germany","Europe","genekam.de","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnad","25/05/2022","Genekam","Monkeypox Virus Real Time PCR Kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","Germany","Europe","genekam.de","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a2669000009j2aW","26/07/2022","Genes laboratories","GCdia Monkeypox Virus Detection Kit","Orthopoxvirus; Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","Korea, Republic of","Western Pacific","http://www.geneslabs.com/","None","0.00","0.00","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","60.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000AWKvx","05/08/2022","Genobio Pharmaceutical Co., Ltd.","Monkeypox Virus Molecular Detection Kit (Real-time RT-PCR)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://www.genobio-pharm.com/monkeypox-virus-molecular-detection-kit-real-time-pcr-product/","CE-IVD","100.00","100.00","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Wound swab; Lesion crusts; Lesion fluid","40.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000AWKoq","05/08/2022","Genscript","Monkeypox RTPCR Kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","China","Western Pacific","https://www.genscript.com/kit/A408003-Monkeypox_Virus_Real_time_PCR_RTPCR_Test.html?position_no=1&sensors=search%20product%20box","None","100.00","100.00","Molecular","DNA","MPX F3L gene; MPX D6R gene","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Lesion fluid","30.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000AWLHd","30/08/2022","GenSure Biotech Inc.,","latex immunochromatography","Monkeypox virus","Monkeypox virus","Regulatory Achieved","","","","CE-IVD","0.00","0.00","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Triage/Screening","Oropharyngeal swab; Lesion crusts","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BCCWK","01/06/2022","Getein Biotech, Inc.","Monkeypox Virus Real-time PCR Kit -Non-Lyophilized Type","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","en.bio-gp.com.cn","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Serum; Lesion fluid","67.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BCCWL","01/06/2022","Getein Biotech, Inc.","Monkeypox Virus Real-time PCR Kit - Lyophilized Type","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","en.bio-gp.com.cn","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Serum; Lesion fluid","67.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BCCWC","01/06/2022","Guangdong Ardent BioMed Co.,Ltd.","Ardent monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","ardentbiomedllc.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BCCWM","01/06/2022","Guangdong Huayin Medicine Science Co,.ltd.","Lyophilized Monkeypox Real-time PCR Test kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","huayinbio.net","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BBqdD","26/05/2022","Guangzhou Hybribio Medicine Technology ltd.","monkeypox virus nucleic acid detection kits","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","hybribio.cn","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BCCWN","01/06/2022","Guangzhou Wondfo Biotech Co., ltd.","u-card dx monkeypox virus test","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","Wondfo.com.cn","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Fully automated (including sample preparation)","near Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","Yes","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BCCWO","01/06/2022","Guangzhou Wondfo Biotech Co., ltd.","Wondfo Monkeypox real-timePCR assay","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","Wondfo.com.cn","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BCCWR","01/06/2022","Hangzhou Biotest Biotech Co., ltd.","Biotest monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","en.biotests.com.cn","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BCCWP","01/06/2022","Hangzhou Testsea Biotechnology Co.,ltd.","TestSea Monkeypox Antigen Test kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","testsealabs.de","CE-IVD","","","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Nasal swab","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BCCWQ","01/06/2022","Hangzhou Testsea Biotechnology Co.,ltd.","TestSea Monkeypox virus DNA detection kit (PCR fluorescence probing)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","testsealabs.de","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","67.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000AWLio","07/09/2022","Healgen Scientific LLC.","Monkeypox IgG/IgM Rapid Test Cassette (Whole Blood/Serum/Plasma)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","United States","Americas","healgen.com","CE-IVD","0.00","0.00","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Triage/Screening","Serum; Plasma; Whole Blood","10.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a2669000009j1vB","25/06/2022","Healgen Scientific LLC.","Monkeypox Virus Detection Kit (Fluorescence PCR)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","United States","Americas","www.healgen.com","CE-IVD","","","Molecular","DNA","MPX F3L gene; Other","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Nasopharyngeal swab; Oropharyngeal swab; Serum; Plasma; Lesion crusts; Lesion roof; Lesion fluid","65.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Instructions for Use (IFU)"
"a266900000BBnam","25/05/2022","Institute of Microbiology and Virology, Brandenburg Medical School Theodor Fontane","MPX-RPA assay","Monkeypox virus","Monkeypox virus","Validation","Germany","Europe","mhb-fontane.de","None","95.00","100.00","Molecular","DNA","MPX G2R gene","RPA","Cartridge-based processing","Standard lab instrumentation is required","Manual","near Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Whole Blood","10.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BC6re","31/05/2022","Jiangsu Bioperfectus Technologies Co., ltd.","Monkeypox Virus Real Time PCR Kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","bioperfectus.com","CE-IVD","","","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Nasopharyngeal swab; Serum; Whole Blood; Lesion crusts; Lesion fluid; Tonsillar swab","60.00","Yes","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BButu","27/05/2022","Jiangsu Bioperfectus Technologies Co., ltd.","Monkeypox Virus Real Time PCR Kit - Veterinary Use Only","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","bioperfectus.com","None","","","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Serum; Other","60.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BCCWS","01/06/2022","Jiangsu Macro & Micro-Test Med-Tech Co., Ltd.","Med-Tec monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","www.hongweitest.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BCCWT","01/06/2022","Jiangsu Mole Bioscience Co., ltd.","Mole Bioscience's Monkeypox Virus Nucleic Acid Detection Kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","en.molechina.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BCCWU","01/06/2022","JINAN BABIO BIOTECHNOLOGY CO., ltd.","Babio monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","jnbaibo.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BC9FQ","01/06/2022","Joysbio (Tianjin) Biotechnology Co Ltd.","JOYSBIO Monkeypox Rapid Test Kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","China","Western Pacific","en.joysbio.com","CE-IVD","","","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Lesion fluid","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BC9FL","01/06/2022","Joysbio (Tianjin) Biotechnology Co Ltd.","JOYSBIO Monkeypox IgM/IgG Antibody Rapid Test Kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","China","Western Pacific","en.joysbio.com","None","","","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Monitoring (treatment, immune status, patient)","Finger prick blood","25.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a2669000009j2aH","26/07/2022","KH Medical Co., Ltd","RADI Monkeypox Detection Kit","Monkeypox virus","Monkeypox virus","Validation","Korea, Republic of","Western Pacific","http://www.khmedical.co.kr/pdf/Mpox.pdf","None","100.00","100.00","Molecular","DNA","Other","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Whole Blood; Wound swab; Lesion crusts","40.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Unpublished data"
"a266900000BBnaY","25/05/2022","Liferiver Bio-Tech (United States) Corp.","Monkeypox Virus Real Time PCR Reagent kit I/II","Monkeypox virus","Monkeypox virus","Regulatory Achieved","United States","Americas","liferiverbiotech.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Purified DNA","","Unknown","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnaZ","25/05/2022","Liferiver Bio-Tech (United States) Corp.","Monkeypox Virus Real Time PCR Reagent III/IV","Monkeypox virus","Monkeypox virus","Regulatory Achieved","United States","Americas","liferiverbiotech.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Purified DNA","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BCCWb","01/06/2022","MGI Tech Co., ltd.","MGI monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","en.mgitech.cn","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BBnaf","25/05/2022","MyBiosource.com","Human Monkeypox Virus (MPV) ELISA Kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","United States","Americas","mybiosource.com","None","","","Immunoassay","Antibody (serological)","Unknown","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Serum; Plasma","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BCCWV","01/06/2022","Nanjing Synthgene Medical Technology Co., Ltd.","Synthgene monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","syngenemed.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BBnao","25/05/2022","National Institute of Infectious Diseases, Japan","MPXV by LAMP","Monkeypox virus","Monkeypox virus","Validation","Japan","Western Pacific","doi.org/10.1002/jmv.21494","None","80.00","100.00","Molecular","DNA","MPX ATI gene","LAMP","Cartridge-based processing","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Iizuka I, Saijo M, Shiota T, Ami Y, Suzaki Y, Nagata N, Hasegawa H, Sakai K, Fukushi S, Mizutani T, Ogata M, Nakauchi M, Kurane I, Mizuguchi M, Morikawa S. Loop-mediated isothermal amplification-based diagnostic assay for monkeypox virus infections. J Med Virol. 2009 Jun;81(6):1102-8. doi: 10.1002/jmv.21494. PMID: 19382264.","2009","Published scientific article"
"a2669000009j2ag","26/07/2022","NeoDx Biotech Labs Private Limited","Human Monkeypox Virus (MPXV) Multiplex RT PCR Detection Kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","India","South-East Asia","https://www.neodx.in/infectious-diseases-panel","None","0.00","0.00","Molecular","DNA","MPX G2R gene; Other","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Other","60.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBqdI","26/05/2022","NewScen Coast Bio-Pharmaceutical Co., ltd.","New Scen Monkeypox IgG/IgM Rapid Test Cassette","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","China","Western Pacific","newscenbiotech.com","None","","","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Serum; Plasma; Whole Blood","20.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBv5p","26/05/2022","NewScen Coast Bio-Pharmaceutical Co., ltd.","New Scen Monkeypox IgG/IgM Rapid Test Cassette - self-testing","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","China","Western Pacific","newscenbiotech.com","None","","","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Diagnostic/confirmatory test","Serum; Plasma; Whole Blood","20.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BD2c6","17/06/2022","NG Biotech","NG-Test Monkeypox virus","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","France","Europe","https://www.ngbiotech.com/","None","","","Immunoassay","Antigen","Other","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Triage/Screening","Lesion fluid; Other","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","","","","Unpublished data"
"a266900000AWL09","16/08/2022","OPTOLANE Technologies, Inc.","Kaira Monkeypox Detection Kit","Orthopoxvirus; Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","Korea, Republic of","Western Pacific","www.optolane.com","None","","","Molecular","DNA","Other","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Other","Lesion fluid","40.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","","","",""
"a266900000BCdhP","09/06/2022","PerkinElmer","PKamp Monkeypox Virus Real-Time PCR RUO Kit V1","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","United States","Americas","perkinelmer.com","None","","","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Purified DNA; Lesion fluid","120.00","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","","","",""
"a266900000BC0GL","30/05/2022","PreciGenome llc","FastPlex MonkeyPox Virus Real Time PCR Kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","United States","Americas","precigenome.com","CE-IVD","","","Molecular","DNA","Other","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
