"Test Directory Package ID","Instrument: Instrument ID","Instrument: Instrument llustration","Instrument: Instrument Name","Instrument: Product Website","Instrument: Confidentiality Level","Instrument: Type of instrument","Performance Detail Submission ID","Created Date","Instrument: Company/Institution Name: Organisation Name","Instrument: Company/Institution Name: Country","Instrument: Company/Institution Name: City","Instrument: Company/Institution Name: WHO Region","Instrument: Company/Institution Name: Website","Instrument: Stage of Development","Instrument: Regulatory Approval","Instrument: Planned Market Entry","Instrument: Type of Technology","Instrument: Technology principle","Instrument: Test Format","Instrument: Readout Technology","Instrument: Other Readout Technology","Instrument: Multiplexing Range","Instrument: Multiplexing capacity","Instrument: Multiplexing description","Instrument: Time to results (mins)","Instrument: Instrument footprint","Instrument: Weight (in Kg)","Instrument: Size (LxWxH) in cm","Instrument: Level of automation","Instrument: Assay menu (Commercial)","Instrument: Assay in development","Instrument: Lab vs. POC","Instrument: Health Level","Instrument: End user profile (training level)","Instrument: Self-testing/Self-Collection","Instrument: Instrument power supply","Instrument: Other Power Supply","Instrument: Connectivity Solution","Instrument: Connectivity options","Instrument: Maximum Operating Temperature","Instrument: Minimum Operating Temperature","Instrument: Additional Operating Conditions","Instrument: Price per instrument in USD (Ex Works)","Instrument: COGS(instrument)","Instrument: Price Source","Instrument: Companion solutions","Instrument: Created By: Full Name","Instrument: Last Modified By: Full Name"
"a2v69000003LBoW","a2s69000002r1mT","","3EO Cube","https://3eohealth.com/products/covid-19-test-kit","","NAT platform","a266900000Bsdt9","09.10.2023","3EO Health, Inc.","United States","Beverly","Region of the Americas","https://3eohealth.com","Regulatory Achieved","US FDA EUA","Already on the market (commercialized)","Molecular","Isothermal LAMP","One-pot","Fluorescence","","Single pathogen","2","At least 2-color fluorescence channel","30.00","Handheld","0.17","6.85x6.85x7.2","Fully automated (including sample preparation)","COVID-19","COVID-19/FluA/FluB, Strep","True Point of Care","Self-Testing","Self-administered","Intended for self-testing (version available)","Mains power","12VDC @ 1.5 A max","","","30.00","15.00","RH 10% to 90%
<1980 m","110.00","","https://www.360dx.com/point-care-testing/fda-eua-hand-3eo-health-prepares-new-molecular-point-care-device-launch","","Romain Wyss","Romain Wyss"
"a2v69000004gKkP","a2s690000019K1i","","NABIT instrument","https://www.thylacine.bio/nabit","","NAT platform","a266900000B8try","06.07.2023","Thylacine Biosciences","United States","Unknown","Region of the Americas","thylacine.bio","Early Stage Development (partial prototype)","None","Unknown","Molecular","Isothermal LAMP","Cartridge-based processing","Fluorescence","","Low","3","Say multiwell","30.00","Small","","","Fully automated (including sample preparation)","","COVID-19, mpox, Nipah","True Point of Care","L0: Community","Trained staff in health care facilities","Intended for professional use only","Battery-operated","","No","Unknown","","","","","","","","Victoria Aroworade","Romain Wyss"
"a2v69000004gKjx","a2s690000019Jyl","","Check4","https://www.identifysensors.com/","","NAT platform","a266900000BscW7","06.07.2023","IdentifySensors Biologics Corp.","United States","Shaker Heights","Region of the Americas","identifysensors.com","Late Stage Development (fully functional prototype)","None","Unknown","Molecular","Graphene-based","Cartridge-based processing","Electric signal","Sensors made from graphene-based inks and printed into solid-state electronics","Medium","5","Up to 5 sensors on the chip","","Handheld","","","Fully automated (including sample preparation)","","COVID-19, Staph, Flu,","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Portable charger compatible","","Yes","Bluetooth","","","","129.00","","Company news: https://identifysensors.com/biologics/identifysensors-has-finalized-proof-of-concept-research-for-all-new-covid-testing-method

the retail consumer cost would be $129 for the reusable reader","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKn2","a2s690000019K1i","","NABIT instrument","https://www.thylacine.bio/nabit","","NAT platform","a266900000Bsd7I","06.07.2023","Thylacine Biosciences","United States","Unknown","Region of the Americas","thylacine.bio","Early Stage Development (partial prototype)","None","Unknown","Molecular","Isothermal LAMP","Cartridge-based processing","Fluorescence","","Low","3","Say multiwell","30.00","Small","","","Fully automated (including sample preparation)","","COVID-19, mpox, Nipah","True Point of Care","L0: Community","Trained staff in health care facilities","Intended for professional use only","Battery-operated","","No","Unknown","","","","","","","","Victoria Aroworade","Romain Wyss"
"a2v69000004gKn4","a2s690000019K2K","","Quiz Biochip / POCHE dongle","https://www.cellid-dx.com/testsolutions","","NAT platform","a266900000BscBl","06.07.2023","Cell ID Pte ltd.","Singapore","Singapore","Western Pacific Region","cellid-dx.com","Regulatory Achieved","CE-IVDD","Unknown","Molecular","Isothermal LAMP","Cartridge-based processing","Electrochemical","Electro-chemical sensor","Single pathogen","2","2 wells per chip","45.00","Handheld","","","Manual","COVID-19","Malaria","True Point of Care","L0: Community","Community level (lay person)","","Portable charger compatible","Plug into a computer. Low power consumption (5V DC, 800mA), USB 2.0/3.0 compatible","Yes","USB","","","","","","","","Victoria Aroworade","Romain Wyss"
"a2v69000004gKmD","a2s690000019Jxu","","AscencioDx","https://www.anavasidx.com/molecular-detector","","NAT platform","a266900000BsbvZ","06.07.2023","Anavasi Diagnostics","United States","Redmond","Region of the Americas","anavasidx.com","Regulatory Achieved","US FDA EUA","Already on the market (commercialized)","Molecular","Isothermal LAMP","One-pot","Fluorescence","","Low","4","","30.00","Handheld","0.13","11.2x6.4x5.8","Fully automated (including sample preparation)","COVID-19","Multiplex respiratory panels, STI","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Mains power","12VDC 1A","No","","40.00","15.00","RH: 5% to 90% non-condensing","","","","","Victoria Aroworade","Romain Wyss"
"a2v69000004gKld","a2s690000019Jz3","","DigiGENE","https://canarydetect.com/diagnostics/","","NAT platform","a266900000BscBA","06.07.2023","Canary Global Inc","Canada","Burlington","Region of the Americas","canarydetect.com","Regulatory Achieved","CE-IVDD","Unknown","Molecular","Isothermal LAMP","Cartridge-based processing","Fluorescence","","Low","3","4 channel hub (spatial), Each disposable test cartridge contains multiple sensors","20.00","Handheld","","","Fully automated (including sample preparation)","COVID-19","Rheumatoid arthrities, Alzheimer's disease, Parkinson's disease","True Point of Care","Self-Testing","Self-administered","","Battery-operated","","Yes","","","","","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKm3","a2s690000019K07","","GRIP biosensor ","https://www.gripmolecular.com/","","NAT instrument-free","a266900000BscP9","06.07.2023","GRIP Molecular","United States","Unknown","Region of the Americas","gripmolecular.com","Early Stage Development (partial prototype)","None","2027","Molecular","Graphene-based; Field-effect transistor (FET)","Cartridge-based processing","Electric signal; Other","Graphene-based electronic field-effect transistors","Very high","32","Array of GFET","5.00","Handheld","","","Fully automated (including sample preparation)","","COVID-19/FluA/B/RSV, Sepsis, Streptococcus","True Point of Care","L0: Community","Trained staff in health care facilities","","Power-free","Through wireless charging-enabled cell phone","Yes","NFC","","","","40.00","10","360dx","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnQ","a2s690000019K1L","https://assets-global.website-files.com/62ec1fa0e73b133056658278/62ec5cfb5cf5986047be7c09_photo-product-02.webp","Metrix Reader","https://shop.aptitudemedical.com/products/metrix-reader","","NAT platform","a266900000Bsbw8","06.07.2023","Aptitude Medical Systems, Inc.","United States","Goleta","Region of the Americas","aptitudemedical.com","Regulatory Achieved","US FDA EUA","Already on the market (commercialized)","Molecular","Isothermal LAMP","Cartridge-based processing","Electrochemical","","Low","4","4 (3+IC) currently. 8 fluidics channel in dev","30.00","Handheld","","","Fully automated (including sample preparation)","COVID-19","COVID-19/FluA/B, CT/NG/TV","True Point of Care","Self-Testing","Self-administered","Intended for self-testing (version available)","Portable charger compatible","Standard USB-C plug or a battery pack.","No","Unknown","30.00","15.00","","34.95","","Company webshop","","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnI","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000B8ttA","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnH","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf2","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnH","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf3","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnH","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf4","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnK","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf5","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnK","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf6","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnK","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf7","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnK","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf8","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnK","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf9","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnJ","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000BscfA","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnL","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000BscfB","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnL","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000BscfC","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKfm","a2s690000019K1Q","","minoo","https://www.midgemedical.com/products-rna_test.html","","NAT platform","a266900000Bscho","06.07.2023","midge medical MPS GmbH","Germany","Berlin","European Region","midgemedical.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal RPA","NAT reagent kit (proprietary platform)","Fluorescence","","Low","3","","18.00","Handheld","0.60","9.2x6.7x3.7","Automated (excluding sample preparation)","","COVID-19","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Battery-operated","","Yes","Bluetooth","28.00","21.00","RH: 20-70%
2000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKfo","a2s690000019K1Q","","minoo","https://www.midgemedical.com/products-rna_test.html","","NAT platform","a266900000Bschp","06.07.2023","midge medical MPS GmbH","Germany","Berlin","European Region","midgemedical.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal RPA","NAT reagent kit (proprietary platform)","Fluorescence","","Low","3","","18.00","Handheld","0.60","9.2x6.7x3.7","Automated (excluding sample preparation)","","COVID-19","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Battery-operated","","Yes","Bluetooth","28.00","21.00","RH: 20-70%
2000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKfn","a2s690000019K1Q","","minoo","https://www.midgemedical.com/products-rna_test.html","","NAT platform","a266900000Bschq","06.07.2023","midge medical MPS GmbH","Germany","Berlin","European Region","midgemedical.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal RPA","NAT reagent kit (proprietary platform)","Fluorescence","","Low","3","","18.00","Handheld","0.60","9.2x6.7x3.7","Automated (excluding sample preparation)","","COVID-19","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Battery-operated","","Yes","Bluetooth","28.00","21.00","RH: 20-70%
2000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKeW","a2s690000019JyR","","be.well Analyzer","https://www.alveotechnologies.com/products/be-well-analyzer","","NAT platform","a266900000BsbuX","06.07.2023","Alveo Technologies","United States","Alameda","Region of the Americas","alveotechnologies.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal LAMP","Cartridge-based processing","Electric signal; Other","Electrical Impedance Sensor","Medium","8","Up to 6 pathogens (website)","60.00","Handheld","0.18","12.9 x 6.6 x 2.0","Automated (excluding sample preparation)","COVID-19","Flu A/B, RSV","True Point of Care","Self-Testing","Self-administered","","Battery-operated","90~264VAC, 47~63Hz, USB Charging Cable","Yes","Bluetooth","30.00","15.00","Uncontrolled relative humidity, non-condensing
2000 m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
